Sex,Single Year of Age,VALUE
Male,26 years,1235
Male,26 years,472
Male,26 years,459
Male,26 years,250
Male,26 years,676
Male,26 years,1008
Male,26 years,409
Male,26 years,527
Male,26 years,803
Male,26 years,667
Male,26 years,586
Male,26 years,1757
Male,26 years,1512
Male,26 years,711
Male,26 years,1264
Male,26 years,768
Male,26 years,641
Male,26 years,771
Male,26 years,842
Male,26 years,156
Male,26 years,579
Male,26 years,316
Male,26 years,316
Male,26 years,402
Male,26 years,772
Male,26 years,324
Male,27 years,29162
Male,27 years,349
Male,27 years,5965
Male,27 years,1471
Male,27 years,1809
Male,27 years,1745
Male,27 years,1294
Male,27 years,470
Male,27 years,482
Male,27 years,230
Male,27 years,697
Male,27 years,992
Male,27 years,417
Male,27 years,505
Male,27 years,743
Male,27 years,682
Male,27 years,593
Male,27 years,1702
Male,27 years,1526
Male,27 years,713
Male,27 years,1229
Male,27 years,775
Male,27 years,639
Male,27 years,730
Male,27 years,672
Male,27 years,137
Male,27 years,556
Male,27 years,275
Male,27 years,337
Male,27 years,380
Male,27 years,695
Male,27 years,352
Male,28 years,28902
Male,28 years,304
Male,28 years,5931
Male,28 years,1412
Male,28 years,1772
Male,28 years,1741
Male,28 years,1226
Male,28 years,480
Male,28 years,441
Male,28 years,224
Male,28 years,739
Male,28 years,1021
Male,28 years,404
Male,28 years,471
Male,28 years,740
Male,28 years,707
Male,28 years,580
Male,28 years,1712
Male,28 years,1514
Male,28 years,666
Male,28 years,1153
Male,28 years,809
Male,28 years,607
Male,28 years,704
Male,28 years,784
Male,28 years,143
Male,28 years,598
Male,28 years,297
Male,28 years,310
Male,28 years,389
Male,28 years,714
Male,28 years,309
Male,29 years,29989
Male,29 years,353
Male,29 years,6102
Male,29 years,1431
Male,29 years,1824
Male,29 years,1786
Male,29 years,1329
Male,29 years,530
Male,29 years,448
Male,29 years,205
Male,29 years,708
Male,29 years,1091
Male,29 years,411
Male,29 years,555
Male,29 years,760
Male,29 years,696
Male,29 years,605
Male,29 years,1717
Male,29 years,1603
Male,29 years,706
Male,29 years,1230
Male,29 years,823
Male,29 years,622
Male,29 years,737
Male,29 years,847
Male,29 years,156
Male,29 years,599
Male,29 years,314
Male,29 years,327
Male,29 years,390
Male,29 years,754
Male,29 years,330
Male,30 years,30858
Male,30 years,367
Male,30 years,6163
Male,30 years,1511
Male,30 years,1888
Male,30 years,1819
Male,30 years,1372
Male,30 years,513
Male,30 years,470
Male,30 years,263
Male,30 years,769
Male,30 years,1097
Male,30 years,447
Male,30 years,523
Male,30 years,877
Male,30 years,688
Male,30 years,582
Male,30 years,1703
Male,30 years,1672
Male,30 years,792
Male,30 years,1250
Male,30 years,827
Male,30 years,719
Male,30 years,677
Male,30 years,813
Male,30 years,164
Male,30 years,657
Male,30 years,315
Male,30 years,334
Male,30 years,416
Male,30 years,788
Male,30 years,382
Male,31 years,32237
Male,31 years,349
Male,31 years,6287
Male,31 years,1510
Male,31 years,2061
Male,31 years,1898
Male,31 years,1396
Male,31 years,599
Male,31 years,509
Male,31 years,232
Male,31 years,796
Male,31 years,1252
Male,31 years,443
Male,31 years,602
Male,31 years,945
Male,31 years,783
Male,31 years,623
Male,31 years,1767
Male,31 years,1725
Male,31 years,772
Male,31 years,1205
Male,31 years,867
Male,31 years,712
Male,31 years,759
Male,31 years,958
Male,31 years,155
Male,31 years,719
Male,31 years,343
Male,31 years,334
Male,31 years,450
Male,31 years,831
Male,31 years,355
Male,32 years,32413
Male,32 years,362
Male,32 years,6080
Male,32 years,1516
Male,32 years,2088
Male,32 years,1887
Male,32 years,1462
Male,32 years,578
Male,32 years,559
Male,32 years,267
Male,32 years,782
Male,32 years,1254
Male,32 years,447
Male,32 years,562
Male,32 years,906
Male,32 years,827
Male,32 years,642
Male,32 years,1727
Male,32 years,1791
Male,32 years,854
Male,32 years,1316
Male,32 years,867
Male,32 years,771
Male,32 years,655
Male,32 years,907
Male,32 years,163
Male,32 years,667
Male,32 years,381
Male,32 years,361
Male,32 years,466
Male,32 years,927
Male,32 years,341
Male,33 years,31888
Male,33 years,366
Male,33 years,5734
Male,33 years,1442
Male,33 years,2157
Male,33 years,1895
Male,33 years,1522
Male,33 years,563
Male,33 years,538
Male,33 years,261
Male,33 years,814
Male,33 years,1253
Male,33 years,444
Male,33 years,582
Male,33 years,821
Male,33 years,837
Male,33 years,643
Male,33 years,1633
Male,33 years,1910
Male,33 years,755
Male,33 years,1310
Male,33 years,884
Male,33 years,686
Male,33 years,594
Male,33 years,996
Male,33 years,173
Male,33 years,761
Male,33 years,359
Male,33 years,321
Male,33 years,466
Male,33 years,868
Male,33 years,300
Male,34 years,33121
Male,34 years,360
Male,34 years,5503
Male,34 years,1488
Male,34 years,2188
Male,34 years,2040
Male,34 years,1563
Male,34 years,594
Male,34 years,548
Male,34 years,291
Male,34 years,890
Male,34 years,1350
Male,34 years,503
Male,34 years,575
Male,34 years,961
Male,34 years,865
Male,34 years,714
Male,34 years,1636
Male,34 years,2038
Male,34 years,817
Male,34 years,1314
Male,34 years,939
Male,34 years,711
Male,34 years,611
Male,34 years,1056
Male,34 years,192
Male,34 years,778
Male,34 years,383
Male,34 years,370
Male,34 years,475
Male,34 years,946
Male,34 years,422
Male,35 years,34695
Male,35 years,387
Male,35 years,5488
Male,35 years,1506
Male,35 years,2321
Male,35 years,2054
Male,35 years,1722
Male,35 years,634
Male,35 years,655
Male,35 years,296
Male,35 years,868
Male,35 years,1504
Male,35 years,546
Male,35 years,666
Male,35 years,986
Male,35 years,923
Male,35 years,729
Male,35 years,1687
Male,35 years,2181
Male,35 years,860
Male,35 years,1404
Male,35 years,982
Male,35 years,807
Male,35 years,610
Male,35 years,1139
Male,35 years,216
Male,35 years,821
Male,35 years,420
Male,35 years,399
Male,35 years,519
Male,35 years,959
Male,35 years,406
Male,36 years,35828
Male,36 years,397
Male,36 years,5401
Male,36 years,1511
Male,36 years,2484
Male,36 years,2304
Male,36 years,1733
Male,36 years,625
Male,36 years,667
Male,36 years,331
Male,36 years,946
Male,36 years,1526
Male,36 years,521
Male,36 years,722
Male,36 years,1009
Male,36 years,949
Male,36 years,765
Male,36 years,1701
Male,36 years,2198
Male,36 years,992
Male,36 years,1419
Male,36 years,1011
Male,36 years,832
Male,36 years,625
Male,36 years,1193
Male,36 years,211
Male,36 years,871
Male,36 years,465
Male,36 years,444
Male,36 years,549
Male,36 years,1005
Male,36 years,421
Male,37 years,36427
Male,37 years,451
Male,37 years,5208
Male,37 years,1543
Male,37 years,2528
Male,37 years,2327
Male,37 years,1837
Male,37 years,657
Male,37 years,704
Male,37 years,275
Male,37 years,878
Male,37 years,1601
Male,37 years,563
Male,37 years,719
Male,37 years,1002
Male,37 years,1076
Male,37 years,788
Male,37 years,1759
Male,37 years,2355
Male,37 years,948
Male,37 years,1468
Male,37 years,1019
Male,37 years,823
Male,37 years,650
Male,37 years,1243
Male,37 years,211
Male,37 years,899
Male,37 years,431
Male,37 years,423
Male,37 years,578
Male,37 years,991
Male,37 years,472
Male,38 years,37513
Male,38 years,465
Male,38 years,5083
Male,38 years,1644
Male,38 years,2682
Male,38 years,2418
Male,38 years,1889
Male,38 years,683
Male,38 years,718
Male,38 years,333
Male,38 years,964
Male,38 years,1605
Male,38 years,564
Male,38 years,657
Male,38 years,1067
Male,38 years,1077
Male,38 years,863
Male,38 years,1728
Male,38 years,2461
Male,38 years,1033
Male,38 years,1521
Male,38 years,1124
Male,38 years,851
Male,38 years,624
Male,38 years,1266
Male,38 years,231
Male,38 years,892
Male,38 years,492
Male,38 years,493
Male,38 years,583
Male,38 years,1036
Male,38 years,466
Male,39 years,38749
Male,39 years,453
Male,39 years,4959
Male,39 years,1667
Male,39 years,2780
Male,39 years,2420
Male,39 years,2085
Male,39 years,756
Male,39 years,762
Male,39 years,337
Male,39 years,1001
Male,39 years,1752
Male,39 years,581
Male,39 years,758
Male,39 years,1078
Male,39 years,1137
Male,39 years,829
Male,39 years,1721
Male,39 years,2631
Male,39 years,1022
Male,39 years,1540
Male,39 years,1136
Male,39 years,851
Male,39 years,644
Male,39 years,1407
Male,39 years,242
Male,39 years,959
Male,39 years,470
Male,39 years,509
Male,39 years,641
Male,39 years,1121
Male,39 years,500
Male,40 years,40301
Male,40 years,494
Male,40 years,4961
Male,40 years,1736
Male,40 years,2973
Male,40 years,2575
Male,40 years,2090
Male,40 years,810
Male,40 years,747
Male,40 years,396
Male,40 years,1119
Male,40 years,1787
Male,40 years,691
Male,40 years,723
Male,40 years,1172
Male,40 years,1176
Male,40 years,907
Male,40 years,1750
Male,40 years,2744
Male,40 years,1112
Male,40 years,1637
Male,40 years,1226
Male,40 years,898
Male,40 years,707
Male,40 years,1443
Male,40 years,245
Male,40 years,943
Male,40 years,489
Male,40 years,491
Male,40 years,633
Male,40 years,1149
Male,40 years,477
Male,41 years,41401
Male,41 years,487
Male,41 years,4913
Male,41 years,1795
Male,41 years,3043
Male,41 years,2610
Male,41 years,2183
Male,41 years,787
Male,41 years,799
Male,41 years,410
Male,41 years,1100
Male,41 years,1850
Male,41 years,628
Male,41 years,759
Male,41 years,1293
Male,41 years,1250
Male,41 years,926
Male,41 years,1727
Male,41 years,2933
Male,41 years,1141
Male,41 years,1646
Male,41 years,1247
Male,41 years,960
Male,41 years,699
Male,41 years,1587
Male,41 years,276
Male,41 years,950
Male,41 years,546
Male,41 years,509
Male,41 years,630
Male,41 years,1168
Male,41 years,549
Male,42 years,41644
Male,42 years,528
Male,42 years,4704
Male,42 years,1812
Male,42 years,3069
Male,42 years,2626
Male,42 years,2192
Male,42 years,791
Male,42 years,813
Male,42 years,384
Male,42 years,1133
Male,42 years,1903
Male,42 years,625
Male,42 years,778
Male,42 years,1302
Male,42 years,1306
Male,42 years,969
Male,42 years,1747
Male,42 years,2906
Male,42 years,1248
Male,42 years,1613
Male,42 years,1254
Male,42 years,1022
Male,42 years,692
Male,42 years,1558
Male,42 years,249
Male,42 years,1007
Male,42 years,538
Male,42 years,541
Male,42 years,624
Male,42 years,1224
Male,42 years,486
Male,43 years,39275
Male,43 years,487
Male,43 years,4458
Male,43 years,1665
Male,43 years,2948
Male,43 years,2555
Male,43 years,2080
Male,43 years,799
Male,43 years,727
Male,43 years,384
Male,43 years,971
Male,43 years,1773
Male,43 years,572
Male,43 years,673
Male,43 years,1119
Male,43 years,1222
Male,43 years,892
Male,43 years,1638
Male,43 years,2853
Male,43 years,1145
Male,43 years,1543
Male,43 years,1235
Male,43 years,1008
Male,43 years,645
Male,43 years,1469
Male,43 years,246
Male,43 years,919
Male,43 years,472
Male,43 years,482
Male,43 years,632
Male,43 years,1186
Male,43 years,477
Male,44 years,37940
Male,44 years,448
Male,44 years,4210
Male,44 years,1566
Male,44 years,2707
Male,44 years,2330
Male,44 years,1971
Male,44 years,800
Male,44 years,712
Male,44 years,334
Male,44 years,1002
Male,44 years,1748
Male,44 years,617
Male,44 years,679
Male,44 years,1114
Male,44 years,1224
Male,44 years,884
Male,44 years,1535
Male,44 years,2778
Male,44 years,1179
Male,44 years,1503
Male,44 years,1172
Male,44 years,930
Male,44 years,613
Male,44 years,1449
Male,44 years,264
Male,44 years,955
Male,44 years,478
Male,44 years,506
