Sex,Age,Population
Male,31,1898
Male,31,1396
Male,31,599
Male,31,509
Male,31,232
Male,31,796
Male,31,1252
Male,31,443
Male,31,602
Male,31,945
Male,31,783
Male,31,623
Male,31,1767
Male,31,1725
Male,31,772
Male,31,1205
Male,31,867
Male,31,712
Male,31,759
Male,31,958
Male,31,155
Male,31,719
Male,31,343
Male,31,334
Male,31,450
Male,31,831
Male,31,355
Male,32,32413
Male,32,362
Male,32,6080
Male,32,1516
Male,32,2088
Male,32,1887
Male,32,1462
Male,32,578
Male,32,559
Male,32,267
Male,32,782
Male,32,1254
Male,32,447
Male,32,562
Male,32,906
Male,32,827
Male,32,642
Male,32,1727
Male,32,1791
Male,32,854
Male,32,1316
Male,32,867
Male,32,771
Male,32,655
Male,32,907
Male,32,163
Male,32,667
Male,32,381
Male,32,361
Male,32,466
Male,32,927
Male,32,341
Male,33,31888
Male,33,366
Male,33,5734
Male,33,1442
Male,33,2157
Male,33,1895
Male,33,1522
Male,33,563
Male,33,538
Male,33,261
Male,33,814
Male,33,1253
Male,33,444
Male,33,582
Male,33,821
Male,33,837
Male,33,643
Male,33,1633
Male,33,1910
Male,33,755
Male,33,1310
Male,33,884
Male,33,686
Male,33,594
Male,33,996
Male,33,173
Male,33,761
Male,33,359
Male,33,321
Male,33,466
Male,33,868
Male,33,300
Male,34,33121
Male,34,360
Male,34,5503
Male,34,1488
Male,34,2188
Male,34,2040
Male,34,1563
Male,34,594
Male,34,548
Male,34,291
Male,34,890
Male,34,1350
Male,34,503
Male,34,575
Male,34,961
Male,34,865
Male,34,714
Male,34,1636
Male,34,2038
Male,34,817
Male,34,1314
Male,34,939
Male,34,711
Male,34,611
Male,34,1056
Male,34,192
Male,34,778
Male,34,383
Male,34,370
Male,34,475
Male,34,946
Male,34,422
Male,35,34695
Male,35,387
Male,35,5488
Male,35,1506
Male,35,2321
Male,35,2054
Male,35,1722
Male,35,634
Male,35,655
Male,35,296
Male,35,868
Male,35,1504
Male,35,546
Male,35,666
Male,35,986
Male,35,923
Male,35,729
Male,35,1687
Male,35,2181
Male,35,860
Male,35,1404
Male,35,982
Male,35,807
Male,35,610
Male,35,1139
Male,35,216
Male,35,821
Male,35,420
Male,35,399
Male,35,519
Male,35,959
Male,35,406
Male,36,35828
Male,36,397
Male,36,5401
Male,36,1511
Male,36,2484
Male,36,2304
Male,36,1733
Male,36,625
Male,36,667
Male,36,331
Male,36,946
Male,36,1526
Male,36,521
Male,36,722
Male,36,1009
Male,36,949
Male,36,765
Male,36,1701
Male,36,2198
Male,36,992
Male,36,1419
Male,36,1011
Male,36,832
Male,36,625
Male,36,1193
Male,36,211
Male,36,871
Male,36,465
Male,36,444
Male,36,549
Male,36,1005
Male,36,421
Male,37,36427
Male,37,451
Male,37,5208
Male,37,1543
Male,37,2528
Male,37,2327
Male,37,1837
Male,37,657
Male,37,704
Male,37,275
Male,37,878
Male,37,1601
Male,37,563
Male,37,719
Male,37,1002
Male,37,1076
Male,37,788
Male,37,1759
Male,37,2355
Male,37,948
Male,37,1468
Male,37,1019
Male,37,823
Male,37,650
Male,37,1243
Male,37,211
Male,37,899
Male,37,431
Male,37,423
Male,37,578
Male,37,991
Male,37,472
Male,38,37513
Male,38,465
Male,38,5083
Male,38,1644
Male,38,2682
Male,38,2418
Male,38,1889
Male,38,683
Male,38,718
Male,38,333
Male,38,964
Male,38,1605
Male,38,564
Male,38,657
Male,38,1067
Male,38,1077
Male,38,863
Male,38,1728
Male,38,2461
Male,38,1033
Male,38,1521
Male,38,1124
Male,38,851
Male,38,624
Male,38,1266
Male,38,231
Male,38,892
Male,38,492
Male,38,493
Male,38,583
Male,38,1036
Male,38,466
Male,39,38749
Male,39,453
Male,39,4959
Male,39,1667
Male,39,2780
Male,39,2420
Male,39,2085
Male,39,756
Male,39,762
Male,39,337
Male,39,1001
Male,39,1752
Male,39,581
Male,39,758
Male,39,1078
Male,39,1137
Male,39,829
Male,39,1721
Male,39,2631
Male,39,1022
Male,39,1540
Male,39,1136
Male,39,851
Male,39,644
Male,39,1407
Male,39,242
Male,39,959
Male,39,470
Male,39,509
Male,39,641
Male,39,1121
Male,39,500
Male,40,40301
Male,40,494
Male,40,4961
Male,40,1736
Male,40,2973
Male,40,2575
Male,40,2090
Male,40,810
Male,40,747
Male,40,396
Male,40,1119
Male,40,1787
Male,40,691
Male,40,723
Male,40,1172
Male,40,1176
Male,40,907
Male,40,1750
Male,40,2744
Male,40,1112
Male,40,1637
Male,40,1226
Male,40,898
Male,40,707
Male,40,1443
Male,40,245
Male,40,943
Male,40,489
Male,40,491
Male,40,633
Male,40,1149
Male,40,477
Male,41,41401
Male,41,487
Male,41,4913
Male,41,1795
Male,41,3043
Male,41,2610
Male,41,2183
Male,41,787
Male,41,799
Male,41,410
Male,41,1100
Male,41,1850
Male,41,628
Male,41,759
Male,41,1293
Male,41,1250
Male,41,926
Male,41,1727
Male,41,2933
Male,41,1141
Male,41,1646
Male,41,1247
Male,41,960
Male,41,699
Male,41,1587
Male,41,276
Male,41,950
Male,41,546
Male,41,509
Male,41,630
Male,41,1168
Male,41,549
Male,42,41644
Male,42,528
Male,42,4704
Male,42,1812
Male,42,3069
Male,42,2626
Male,42,2192
Male,42,791
Male,42,813
Male,42,384
Male,42,1133
Male,42,1903
Male,42,625
Male,42,778
Male,42,1302
Male,42,1306
Male,42,969
Male,42,1747
Male,42,2906
Male,42,1248
Male,42,1613
Male,42,1254
Male,42,1022
Male,42,692
Male,42,1558
Male,42,249
Male,42,1007
Male,42,538
Male,42,541
Male,42,624
Male,42,1224
Male,42,486
Male,43,39275
Male,43,487
Male,43,4458
Male,43,1665
Male,43,2948
Male,43,2555
Male,43,2080
Male,43,799
Male,43,727
Male,43,384
Male,43,971
Male,43,1773
Male,43,572
Male,43,673
Male,43,1119
Male,43,1222
Male,43,892
Male,43,1638
Male,43,2853
Male,43,1145
Male,43,1543
Male,43,1235
Male,43,1008
